Acceleration;Braking;Steering;Clutch;Gear; Gear; SpeedX;TrackPosition;Angle;Track_1;Track_2;Track_3;Track_4;Track_5;Track_6;Track_7;Track_8;Track_9;Track_10;Track_11;Track_12;Track_13;Track_14;Track_15;Track_16;Track_17;Track_18;Track_19
1.0;0.0;-0.026883235201239586;0.6399999856948853;1;1;175.033;0.332479;0.00401531;400.516;415.091;524.604;702.306;118.409;157.102;236.023;481.646;200.0;200.0;200.0;877.063;450.159;30.434;231.206;138.593;104.016;826.807;799.494
1.0;0.0;-0.026743726804852486;0.6399999856948853;1;1;182.345;0.332275;0.00431961;400.639;415.252;524.899;702.828;118.546;157.331;236.513;483.556;200.0;200.0;200.0;874.024;449.333;303.954;23.098;138.512;103.974;826.615;799.372
1.0;0.0;-0.0265997052192688;0.6399999856948853;1;1;189.547;0.332072;0.00463474;400.761;415.415;525.199;703.362;118.686;157.568;237.019;485.544;200.0;200.0;200.0;870.902;448.482;303.556;230.747;138.429;103.931;82.642;799.252
1.0;0.0;-0.026450254023075104;0.6399999856948853;1;1;196.754;0.331868;0.00496342;400.884;415.578;525.506;70.391;118.831;157.813;237.547;487.627;200.0;200.0;200.0;867.674;447.601;303.145;230.507;138.344;103.886;826.222;799.131
1.0;0.0;-0.026294056326150894;0.6399999856948853;1;1;203.933;0.331665;0.0053084;401.007;415.744;525.819;704.475;118.982;158.069;238.099;489.824;200.0;200.0;200.0;864.318;446.684;302.717;230.257;138.255;103.841;826.021;79.901
1.0;0.0;-0.026131995022296906;0.6399999856948853;1;1;211.227;0.331461;0.00566762;40.113;415.912;52.614;705.055;119.138;158.334;238.673;492.126;200.0;200.0;200.0;860.855;445.735;302.274;229.998;138.164;103.794;825.817;79.889
1.0;0.0;-0.025963077321648598;0.6399999856948853;1;1;218.749;0.331258;0.00604342;401.253;416.081;526.468;705.653;119.299;15.861;239.273;494.548;200.0;200.0;200.0;857.267;444.749;301.813;22.973;138.069;103.746;82.561;798.769
1.0;0.0;-0.025786884129047394;0.6399999856948853;1;1;226.536;0.331054;0.0064372;401.376;416.253;526.804;70.627;119.467;158.897;239.901;497.103;200.0;200.0;200.0;853.544;443.724;301.335;229.451;137.972;103.696;825.399;798.649
1.0;0.0;-0.025603054091334343;0.6399999856948853;1;1;234.537;0.330851;0.00684915;401.499;416.427;527.149;706.907;119.642;159.197;240.558;499.796;200.0;200.0;200.0;849.689;44.266;300.838;229.162;137.871;103.645;825.184;798.529
1.0;0.0;-0.025411643087863922;0.6399999856948853;1;1;242.726;0.330647;0.00727935;401.622;416.603;527.503;707.563;119.823;159.508;241.245;502.631;200.0;200.0;200.0;845.705;441.557;300.323;228.862;137.766;103.592;824.965;79.841
1.0;0.0;-0.025209983810782433;0.6399999856948853;1;1;25.114;0.330444;0.00773425;401.746;416.782;527.868;708.246;120.013;159.836;24.197;505.654;200.0;200.0;200.0;841.539;440.399;299.782;228.548;137.657;103.537;824.741;79.829
1.0;0.0;-0.02499324269592762;0.6399999856948853;1;1;259.606;0.33024;0.00822573;401.869;416.965;528.249;708.967;120.216;160.188;242.752;508.946;200.0;200.0;200.0;837.093;439.161;299.204;228.212;137.541;10.348;82.451;798.171
1.0;0.0;-0.02476067654788494;0.6399999856948853;1;1;268.104;0.329976;0.00874226;40.203;417.189;528.691;70.978;120.439;160.571;243.598;512.489;200.0;200.0;200.0;832.438;43.785;298.588;227.851;137.414;103.415;824.236;798.016
1.0;0.0;-0.024506136775016785;0.6399999856948853;1;1;27.666;0.329569;0.00928132;402.276;417.505;529.256;710.769;120.695;161.005;244.533;516.338;200.0;200.0;200.0;827.551;436.447;297.917;227.454;137.268;103.337;823.869;797.776
1.0;0.0;-0.024241488426923752;0.6399999856948853;1;1;28.535;0.329162;0.00984403;402.522;417.824;529.832;711.783;120.961;161.454;24.551;520.399;200.0;200.0;200.0;822.519;434.997;297.224;227.043;137.118;103.258;823.498;797.536
0.8721656799316406;0.0;-0.02396579086780548;0.6399999856948853;1;1;29.415;0.328755;0.0104324;402.769;418.146;530.421;712.827;121.237;161.923;246.532;524.694;200.0;200.0;200.0;817.331;433.496;296.507;226.618;136.964;103.176;823.121;797.296
1.0;0.0;-0.023679561913013458;0.6399999856948853;1;1;302.948;0.328348;0.0110452;403.016;418.471;531.021;713.898;121.522;162.408;247.598;529.224;200.0;200.0;200.0;812.004;431.949;295.767;22.618;136.805;103.093;82.274;797.057
0.8981609344482422;0.0;-0.023386307060718536;0.6399999856948853;1;1;311.696;0.327941;0.0116731;403.263;418.798;53.163;714.987;121.813;162.906;248.695;533.936;200.0;200.0;200.0;80.662;430.377;295.014;225.734;136.643;103.008;822.355;796.819
1.0;0.0;-0.02308361418545246;0.6399999856948853;1;1;320.516;0.327534;0.0123225;40.351;419.128;532.249;716.101;122.113;16.342;249.833;538.879;200.0;200.0;200.0;801.132;428.767;294.243;225.277;136.478;102.922;821.967;796.581
0.6143302917480469;0.0;-0.022771915420889854;0.6399999856948853;1;1;329.365;0.327127;0.0129915;403.758;419.461;532.878;717.238;122.421;16.395;25.101;544.053;200.0;200.0;200.0;79.556;427.124;293.455;22.481;136.309;102.834;821.575;796.343
1.0;0.0;-0.023854535073041916;0.6399999856948853;1;1;33.785;0.342611;0.0136723;39.447;409.888;520.921;701.435;119.837;160.607;246.263;536.442;200.0;200.0;200.0;799.431;430.563;296.163;227.025;137.769;103.976;831.017;805.642
1.0;0.0;-0.023535294458270073;0.6399999856948853;1;1;345.752;0.342;0.0143163;39.484;410.343;521.695;702.752;120.171;161.166;247.474;541.671;200.0;200.0;200.0;794.019;428.917;295.356;226.538;137.584;103.874;830.504;805.283
0.552454948425293;0.0;-0.023192008957266808;0.6399999856948853;1;1;354.459;0.34139;0.0150158;395.211;410.805;522.495;70.413;120.525;161.763;24.878;547.414;200.0;200.0;200.0;788.249;427.159;294.494;226.019;137.388;103.768;82.998;804.925
1.0;0.0;-0.02283482998609543;0.6399999856948853;1;1;362.654;0.34078;0.015746;395.581;411.271;523.309;705.542;120.891;162.384;250.146;553.506;200.0;200.0;200.0;782.325;425.345;293.606;225.484;137.187;103.659;82.945;804.568
